,Defects,Second
0,20,0
1,253,1
2,576,2
3,803,3
4,909,4
5,958,5
6,970,6
7,984,7
8,962,8
9,955,9
10,925,10
11,901,11
12,882,12
13,859,13
14,835,14
15,795,15
16,777,16
17,744,17
18,722,18
19,693,19
20,678,20
21,660,21
22,634,22
23,624,23
24,614,24
25,599,25
26,579,26
27,572,27
28,559,28
29,545,29
30,539,30
31,531,31
32,518,32
33,505,33
34,503,34
35,485,35
36,478,36
37,471,37
38,462,38
39,452,39
40,451,40
41,442,41
42,431,42
43,426,43
44,417,44
45,411,45
46,406,46
47,400,47
48,398,48
49,398,49
50,394,50
51,386,51
52,382,52
53,375,53
54,365,54
55,354,55
56,353,56
57,349,57
58,350,58
59,345,59
