,Defects,Second
0,1302,0
1,939,1
2,748,2
3,642,3
4,520,4
5,426,5
6,345,6
7,295,7
8,250,8
9,199,9
10,163,10
11,138,11
12,122,12
13,103,13
14,88,14
15,80,15
16,68,16
17,65,17
18,59,18
19,55,19
20,51,20
21,45,21
22,38,22
23,37,23
24,35,24
25,35,25
26,31,26
27,27,27
28,23,28
29,23,29
30,21,30
31,22,31
32,22,32
33,20,33
34,20,34
35,19,35
36,20,36
37,17,37
38,19,38
39,19,39
40,16,40
41,16,41
42,15,42
43,14,43
44,12,44
45,11,45
46,13,46
47,11,47
48,11,48
49,11,49
50,11,50
51,11,51
52,12,52
53,11,53
54,11,54
55,11,55
56,11,56
57,10,57
58,12,58
59,17,59
60,19,60
61,14,61
62,24,62
63,26,63
64,25,64
65,15,65
66,15,66
67,17,67
68,17,68
69,17,69
70,17,70
